date,open,high,low,close,volume,X1,X2
6/12/17,61.8,61.99,60.63,61.29,11071593,62.29976576,-0.078
6/13/17,61.12,61.255,60.59,60.92,9384906,62.16835949,1.0265
6/14/17,60.67,60.82,59.86,60.27,9703332,61.98756335,-2.98015
6/15/17,59.92,60.28,59.51,60.09,7515980,61.80684303,-0.365675
6/16/17,59.89,60.16,59.47,60.14,11522438,61.64809608,0.01205
6/19/17,60.35,61,60.11,60.9,6778024,61.57684883,0.1721
6/20/17,60.98,61,59.7,59.86,6985666,61.41333942,0.2183
6/21/17,60,60.31,59.71,59.96,6027647,61.27492614,-0.294825
6/22/17,60.09,60.1,59.4,59.51,5602002,61.10683794,-0.54485
6/23/17,59.76,60.17,59.58,59.81,6469495,60.98332956,0.164425
6/26/17,60.02,60.15,59.33,59.64,5674637,60.85539341,1.240425
6/27/17,59.54,59.69,58.81,58.96,5652429,60.67487976,0.8072
6/28/17,59.06,59.25,58.8,59.18,5419169,60.53251025,-0.77955
6/29/17,59.17,59.18,57.955,58.36,7421177,60.32560452,-0.39755
6/30/17,58.68,58.95,58.29,58.31,8117066,60.13364218,0.317875
7/3/17,58.9,58.99,58.25,58.25,4575268,59.95424769,0.294675
7/5/17,58.43,58.5,57.8,57.94,7773566,59.76241457,1.011725
7/6/17,57.8,57.92,57.4,57.6,8886648,59.55647033,0.329875
7/7/17,57.79,58.36,57.54,58.04,7278250,59.41204458,-2.0057
7/10/17,58.18,58.35,57.75,57.81,4832094,59.25946891,0.816725
7/11/17,57.91,58.08,57.53,57.9,5422330,59.12999568,0.613025
7/12/17,58.21,58.71,58.02,58.54,7141916,59.07380562,0.10965
7/13/17,58.8,58.87,58.12,58.38,8460245,59.00772889,0.136575
7/14/17,58.4,58.92,58.28,58.76,5441377,58.98413566,-1.08765
7/17/17,58.73,58.87,58.28,58.33,6774471,58.92183703,0.092675
7/18/17,58.12,58.58,57.69,58.21,7857464,58.85404303,0.67175
7/19/17,58.15,58.41,57.9,58.11,8203557,58.78318178,0.870825
7/20/17,58.41,58.84,58,58.03,10546701,58.71145019,1.067475
7/21/17,57.92,58.26,57.83,57.98,6717235,58.64178826,0.84135
7/24/17,58,58.25,57.93,58.02,7442589,58.58257033,0.278625
7/25/17,58.215,58.84,57.98,58.74,4314841,58.59756364,0.8508
