Date,Open,High,Low,Close,Volume,RSI,SSO,SMA,S-Open,S-High,S-Low,S-Close
03/18/2016,229.1,234.48,228.06,232.74,4711793,76.3017688611,96.8027789593,97.3643104189,0.3619,0.4332,-0.2334,0.3162
03/21/2016,235.34,239.88,235,238.32,5307822,78.2987008514,96.57741854,96.9338365321,0.9305,1.1879,0.6446,0.6446
03/22/2016,237.21,238.99,232.558,234.24,4315988,73.4266511279,94.647347623,96.0091817074,-1.0495,-0.9439,-2.8739,-2.3825
03/23/2016,232.37,234.73,222.03,222.58,4948841,61.6251280225,84.3470483005,91.8572714878,-1.8242,-1.3962,-2.3033,-1.7139
03/24/2016,215.78,228.8877,215,227.75,4960900,64.3603609315,75.0604465937,84.6849475057,-1.6648,-0.9141,-1.7147,-1.1496
03/28/2016,231.61,234.81,225,230.26,3925685,65.6407981859,68.5509265598,75.9861404847,-0.0606,0.6208,-0.3166,-0.3137
03/29/2016,229.89,232.38,225.33,230.13,4014330,65.5095226641,73.9449784116,72.518783855,-0.4063,0.5644,-0.7279,0.5644
03/30/2016,235.09,235.5,226.5,226.89,4032982,62.1722417233,72.4893094273,71.6617381329,1.294,1.294,0.2933,0.4382
03/31/2016,229.34,237.42,225.01,229.77,8012872,63.9311870627,70.9209687699,72.4517522029,-0.8081,2.2975,-0.9076,2.0917
04/01/2016,244.825,247.9,233.25,237.59,15997509,68.2484247833,69.9060521172,71.1054434381,3.5063,3.7014,3.4131,3.657
04/04/2016,249.12,252.12,243.64,246.99,13475327,72.5081693476,77.2747487325,72.7005898732,0.4808,1.3663,0.1467,1.3099
04/05/2016,240.5,256.56,240,255.47,9948699,75.6782207608,86.1604152713,77.7804053737,-0.6674,-0.382,-1.0793,-0.5399
04/06/2016,253.97,267.74,253.45,265.42,11705479,78.7713429638,93.6703231545,85.7018290528,-0.9906,-0.772,-1.6216,-1.0229
04/07/2016,266.45,269.34,254.51,257.2,8856171,70.764677416,89.538482239,89.7897402216,-0.2447,0.2499,-0.2816,-0.2408
04/08/2016,260.5,260.82,248.0201,250.07,7363935,64.628345127,79.104200223,87.4376685388,-0.8173,-0.777,-1.2618,-1.0545
04/11/2016,251,258.99,245.3,249.92,9161693,64.5016238913,68.8197767145,79.1541530588,-0.2322,0.0957,-1.2372,-1.0358
04/12/2016,249.5,251.8,243.63,247.82,5763208,62.6495552652,63.0658814869,70.3299528081,-0.1085,0.1545,-0.7743,-0.0418
04/13/2016,248.51,255.5,247.33,254.53,4925595,66.008090416,65.8017421175,65.8958001063,-0.1058,0.3862,-0.1058,0.2839
04/14/2016,253,256.839,251.0501,251.86,4132185,63.5590011832,64.8346621357,64.56742858,0.2662,0.4221,-0.0468,-0.0326
04/15/2016,251.31,254.6,249.12,254.51,3752366,64.9490391536,67.051255157,65.8958864701,-0.4634,0.1151,-0.4634,-0.0688
04/18/2016,252.23,258.31,251.66,253.88,4271362,64.3208828143,64.0827067669,65.3228746865,-0.6521,-0.4451,-0.6894,-0.488
04/19/2016,253.12,254.3699,241.251,247.37,6357526,58.070901655,60.7038123167,63.9459247469,-0.302,-0.2971,-0.9519,-0.7771
04/20/2016,246.26,253.66,241.5,249.97,5194051,59.7529475226,54.4689378758,59.7518189865,0.0831,0.9385,0.014,0.7894
04/21/2016,248.99,250.9,246.91,248.29,2783059,58.1302225714,43.1577988338,52.7768496754,0.8808,0.8808,-0.0974,-0.0974
04/22/2016,248.89,254,245.71,253.75,3786327,61.7645177448,40.8990186768,46.1752517955,-0.9946,1.3408,-0.9946,1.3395
04/25/2016,253.01,257.38,250.76,251.82,3670348,59.7889592717,37.5813942768,40.5460705958,2.0696,2.5329,1.9381,2.0242
04/26/2016,252.05,255.73,249.39,253.74,3223839,61.1212284209,43.0412310859,40.5072146798,-0.0271,0.5579,-0.224,0.0642
04/27/2016,252.75,255,249.4,251.47,3205808,58.6472078296,43.9317728755,41.5181327461,0.8166,2.1126,0.3051,2.1126
04/28/2016,249.85,253.43,247.44,247.71,2518990,54.6978357659,44.5999051944,43.8576363853,1.2196,1.3,0.3384,0.5089
04/29/2016,248.14,248.43,237.81,240.76,5413787,48.2323550552,33.9537780238,40.8284853646,-0.9882,-0.5025,-1.7101,-0.9485
05/02/2016,241.5,243.19,234.82,241.8,3843935,49.2000253099,26.5499198108,35.034534343,0.474,2.0449,-0.398,2.0449
05/03/2016,237.36,238.91,231.62,232.32,4302222,41.5717409031,15.0396151669,25.1811043338,0.9216,2.0815,0.7706,1.0579
05/04/2016,230.29,234.46,220.4,222.56,8700459,35.4736536327,11.1703939153,17.5866429643,0.254,1.4303,-3.2354,-3.1384
05/05/2016,228.46,228.64,209.79,211.53,11254827,30.0999724159,4.0664780764,10.0921623862,1.3321,2.1524,-1.3895,1.9937
05/06/2016,210.87,216.37,208.11,214.93,5685237,33.4467241925,7.8997789241,7.7122169719,-1.3236,1.2672,-1.4124,1.0395
05/09/2016,215.72,216.15,206.8,208.92,4776383,30.6529065531,7.1982206646,6.3881592217,-0.9875,-0.8962,-2.2401,-2.0649
05/10/2016,207.55,209.47,205,208.69,4070617,30.5477438709,8.2966563752,7.7982186546,-1.8112,0.2391,-1.8112,0.0676
05/11/2016,207.59,215.48,206.05,208.96,5161864,30.8476721451,6.2894296382,7.2614355593,-0.3609,1.7447,-0.7535,1.4069
05/12/2016,211.44,211.67,203.6572,207.28,3650475,29.9801218828,7.1129485345,7.233011516,0.0617,1.06,-0.3894,0.9966
05/13/2016,207.78,211.2,206.7,207.61,2822781,30.3942234494,7.2929073764,6.8984285164,1.0911,1.3286,-0.1184,0.0657
05/16/2016,208.15,213.15,207.92,208.29,2949396,31.2958939725,7.769202181,7.3916860306,-0.3283,1.3268,-0.366,1.3192
05/17/2016,209.05,209.8199,204.02,204.66,2843597,29.1268028304,6.2592206721,7.1071100765,0.7644,0.8652,-1.2386,-1.2345
05/18/2016,209.15,215.31,207.75,211.17,5617519,37.4938503135,9.0126425405,7.6803551312,3.3035,3.9181,3.3035,3.873
05/19/2016,213.62,216.79,207.3,215.21,6866321,42.0649106113,14.9676607119,10.0798413082,2.1856,2.1856,-1.5454,-0.2245
05/20/2016,216.99,220.55,216.35,220.28,9007076,47.2758395764,29.8501820031,17.9434950852,-0.222,1.7405,-0.2283,1.0083
05/23/2016,219.87,222.6,215.86,216.22,5102479,43.8727666831,38.5822685068,27.8000370739,-1.2166,0.2406,-1.2166,-0.0437
05/24/2016,216.6,218.74,215.18,217.91,3013843,45.6272868337,47.7143710786,38.7156071962,0.2074,0.2074,-0.7469,-0.6082
05/25/2016,217.91,221.36,216.51,219.58,3132615,47.3778109014,57.1916433377,47.829427641,-1.2764,1.0992,-1.2764,0.7273
05/26/2016,220.5,225.26,219.05,225.12,4072424,52.8059650068,78.8030838537,61.23636609,0.3342,2.1161,-0.0092,2.1161
05/27/2016,224.99,225.93,220.75,223.04,3650272,50.6917049274,90.3690638412,75.4545970109,1.8104,1.8607,1.0282,1.0282
05/31/2016,223.04,224.7497,221.5001,223.23,2789002,50.8851524516,91.3376589608,86.8366022186,-0.3953,0.5349,-0.4736,0.3947
06/01/2016,221.48,222.4,216.89,219.56,2982695,47.0457737456,82.1007387187,87.9358205069,-0.3692,-0.1123,-0.7828,-0.2255
06/02/2016,219.59,219.909,217.11,218.96,2032832,46.4289955255,75.8635841073,83.1006605956,-0.3812,0.2639,-0.4064,-0.0051
06/03/2016,220,221.94,218.01,218.99,2228970,46.4667863543,69.3158710177,75.7600646146,0.6959,1.6724,0.6628,1.4179
06/06/2016,218,220.9,215.45,220.68,2249508,48.6637889598,70.8504488057,72.0099679769,-0.4426,0.2284,-0.9131,0.227
06/07/2016,222.24,234.44,221.52,232.34,6213573,60.6598739292,79.8618940248,73.3427379494,0.151,3.2715,0.151,3.1609
06/08/2016,233.8,240.845,232.605,235.52,5971995,63.1864733834,84.6540347479,78.4554591928,2.0835,2.67,1.8059,2.1818
06/09/2016,234.98,235.33,227.06,229.36,4492075,55.7209927739,78.1007527504,80.8722271744,1.7383,1.7421,0.185,0.3081
06/10/2016,227.39,227.97,218.4217,218.79,6026603,45.7355652392,54.2091310751,72.3213061911,-1.6854,-0.7847,-1.8329,-1.6211
06/13/2016,219.5,225.77,217.66,217.87,4193022,44.9800122784,26.5991298136,52.969671213,-0.5405,0.1497,-0.5405,-0.418
06/14/2016,218.88,222.2,212.53,214.96,3580167,42.5836964139,10.961140059,30.5898003159,-0.5,-0.2738,-1.9199,-1.5532
06/15/2016,216.95,221.9,215.13,217.7,2908522,45.5264405611,12.5037973145,16.6880223957,-1.0876,0.4569,-1.1866,0.1059
06/16/2016,217.42,218.04,213.5,217.93,2440259,45.7776624449,15.3040202484,12.922985874,0.0041,0.3549,-0.1218,0.3252
06/17/2016,217.81,219.99,214.5,215.47,3112620,43.4685816054,15.9044087351,14.5707420993,0.354,0.6471,-0.9998,-0.9934
06/20/2016,219.5,223.75,218.23,219.7,3555471,48.2978777577,18.2588733887,16.4891007907,-0.496,1.9837,-0.496,1.9706
